week,zone_type,hour,mae
2025-08-25/2025-08-31,airport,17,38.04976921340303
2025-08-25/2025-08-31,airport,18,34.04610773692588
2025-08-25/2025-08-31,airport,19,30.267226604452322
2025-08-25/2025-08-31,airport,20,32.5378642909089
2025-08-25/2025-08-31,airport,21,66.42415953176868
2025-08-25/2025-08-31,airport,22,79.28707599894385
2025-08-25/2025-08-31,airport,23,37.11991845683929
2025-08-25/2025-08-31,non_airport,0,731.7210280403996
2025-08-25/2025-08-31,non_airport,1,414.65049656021176
2025-08-25/2025-08-31,non_airport,2,234.9226535494667
2025-08-25/2025-08-31,non_airport,3,165.7484049384689
2025-08-25/2025-08-31,non_airport,4,93.43482102302526
2025-08-25/2025-08-31,non_airport,5,127.83983059245513
2025-08-25/2025-08-31,non_airport,6,222.08296340224211
2025-08-25/2025-08-31,non_airport,7,480.02639216746314
2025-08-25/2025-08-31,non_airport,8,672.7751959298519
2025-08-25/2025-08-31,non_airport,9,840.6672887030774
2025-08-25/2025-08-31,non_airport,10,905.8510230062135
2025-08-25/2025-08-31,non_airport,11,1001.6486296057178
2025-08-25/2025-08-31,non_airport,12,1089.297653382306
2025-08-25/2025-08-31,non_airport,13,1180.9490985741973
2025-08-25/2025-08-31,non_airport,14,1303.7447526391932
2025-08-25/2025-08-31,non_airport,15,1413.3989962524934
2025-08-25/2025-08-31,non_airport,16,1447.5034174414357
2025-08-25/2025-08-31,non_airport,17,1523.1455323989844
2025-08-25/2025-08-31,non_airport,18,1551.4632874113165
2025-08-25/2025-08-31,non_airport,19,1678.8743874485372
2025-08-25/2025-08-31,non_airport,20,1574.1453791460435
2025-08-25/2025-08-31,non_airport,21,1457.9905066196504
2025-08-25/2025-08-31,non_airport,22,1362.5569935453004
2025-08-25/2025-08-31,non_airport,23,1060.3733707692734
2025-09-01/2025-09-07,airport,0,39.95631704426014
2025-09-01/2025-09-07,airport,1,59.82972379386175
2025-09-01/2025-09-07,airport,2,31.816768755256753
2025-09-01/2025-09-07,airport,3,24.108242524906927
2025-09-01/2025-09-07,airport,4,19.738032956992114
2025-09-01/2025-09-07,airport,5,17.402277916793828
2025-09-01/2025-09-07,airport,6,31.66985420011192
2025-09-01/2025-09-07,airport,7,24.444391561166544
2025-09-01/2025-09-07,airport,8,23.338956349022162
2025-09-01/2025-09-07,airport,9,32.57379963111583
2025-09-01/2025-09-07,airport,10,23.697655411153484
2025-09-01/2025-09-07,airport,11,37.76417186066832
2025-09-01/2025-09-07,airport,12,28.3734070638101
2025-09-01/2025-09-07,airport,13,38.25156880173296
2025-09-01/2025-09-07,airport,14,22.34604655973551
2025-09-01/2025-09-07,airport,15,42.56397094583486
2025-09-01/2025-09-07,airport,16,52.42329070770237
2025-09-01/2025-09-07,airport,17,50.81031253199999
2025-09-01/2025-09-07,airport,18,31.05577910950973
2025-09-01/2025-09-07,airport,19,30.85829317263167
2025-09-01/2025-09-07,airport,20,38.18129237151868
2025-09-01/2025-09-07,airport,21,48.98452572460849
2025-09-01/2025-09-07,airport,22,58.52128508502257
2025-09-01/2025-09-07,airport,23,60.356903653111594
2025-09-01/2025-09-07,non_airport,0,761.4349765209851
2025-09-01/2025-09-07,non_airport,1,484.57345485394376
2025-09-01/2025-09-07,non_airport,2,322.23430983063224
2025-09-01/2025-09-07,non_airport,3,259.12804005156227
2025-09-01/2025-09-07,non_airport,4,172.88701263805774
2025-09-01/2025-09-07,non_airport,5,202.26475877183944
2025-09-01/2025-09-07,non_airport,6,282.6298499948305
2025-09-01/2025-09-07,non_airport,7,536.0062658450436
2025-09-01/2025-09-07,non_airport,8,739.504209148491
2025-09-01/2025-09-07,non_airport,9,920.5313001120339
2025-09-01/2025-09-07,non_airport,10,965.8089718986389
2025-09-01/2025-09-07,non_airport,11,1066.7878770541724
2025-09-01/2025-09-07,non_airport,12,1162.75328580445
2025-09-01/2025-09-07,non_airport,13,1286.8707243863962
2025-09-01/2025-09-07,non_airport,14,1382.1296984401865
2025-09-01/2025-09-07,non_airport,15,1460.9085106638863
2025-09-01/2025-09-07,non_airport,16,1516.7887463365714
2025-09-01/2025-09-07,non_airport,17,1669.415138242237
2025-09-01/2025-09-07,non_airport,18,1697.6513354318874
2025-09-01/2025-09-07,non_airport,19,1781.4832602858796
2025-09-01/2025-09-07,non_airport,20,1692.848770448134
2025-09-01/2025-09-07,non_airport,21,1582.0145490248085
2025-09-01/2025-09-07,non_airport,22,1510.34503871402
2025-09-01/2025-09-07,non_airport,23,1180.5070459921715
2025-09-08/2025-09-14,airport,0,57.78313839640439
2025-09-08/2025-09-14,airport,1,52.241445973854375
2025-09-08/2025-09-14,airport,2,21.93031959664818
2025-09-08/2025-09-14,airport,3,13.397164694181185
2025-09-08/2025-09-14,airport,4,22.29095198177603
2025-09-08/2025-09-14,airport,5,17.900292373556354
2025-09-08/2025-09-14,airport,6,25.140351872628653
2025-09-08/2025-09-14,airport,7,27.445262261525805
2025-09-08/2025-09-14,airport,8,19.149063609784616
2025-09-08/2025-09-14,airport,9,23.999887066835893
2025-09-08/2025-09-14,airport,10,17.352055848700317
2025-09-08/2025-09-14,airport,11,30.174488043413362
2025-09-08/2025-09-14,airport,12,25.778459764391776
2025-09-08/2025-09-14,airport,13,34.71647722484372
